year,election,start,end
2012,General,10/1/12,11/6/12
2013,General,10/1/13,11/5/13
2014,General,10/1/14,11/4/14
2015,General,10/1/15,11/3/15
2016,General,10/1/16,11/9/16
2016,PresPrimary,3/1/16,4/20/16
2016,SeptPrimary,8/1/16,9/13/16
2017,Special,5/1/17,5/23/17
2017,general,10/1/17,11/7/17
2017,primary,8/1/17,9/12/17
